Title,Company name,URL,Required experience,Area,Salary
Слесарь-сборщик,Мехдеталь,https://hh.ru/vacancy/89456402,Нет опыта,Санкт-Петербург,От 70000 до 100000
Слесарь/ помощник слесаря,Сервис-ПТО,https://hh.ru/vacancy/88299606,Нет опыта,Санкт-Петербург,От 85000 до None
Помощник слесаря по ремонту станков (младший слесарь),Завод Металлоконструкций,https://hh.ru/vacancy/90572787,Нет опыта,Санкт-Петербург,От 80000 до 90000
Слесарь-сборщик,Арлифт,https://hh.ru/vacancy/89817340,Нет опыта,Санкт-Петербург,От 70000 до 75000
Слесарь по ремонту оборудования,Polygrade,https://hh.ru/vacancy/90325402,От 3 до 6 лет,Санкт-Петербург,От 75000 до 129500
Слесарь механосборочных работ,Завод ЭНЕРПРОМ,https://hh.ru/vacancy/90571611,Более 6 лет,Санкт-Петербург,От 80000 до None
Слесарь-сборщик,Физиотехника,https://hh.ru/vacancy/90452140,От 3 до 6 лет,Санкт-Петербург,От 80000 до 100000
Техник/слесарь,Улыбка радуги,https://hh.ru/vacancy/83376875,От 1 года до 3 лет,Санкт-Петербург,От 68000 до None
Слесарь-сборщик,Топливные Модульные Системы,https://hh.ru/vacancy/90078067,От 1 года до 3 лет,Санкт-Петербург,От 75000 до None
Слесарь,НПФ Бастион-СПб,https://hh.ru/vacancy/90540633,Нет опыта,Санкт-Петербург,От 70000 до None
Слесарь,Х5 Transport,https://hh.ru/vacancy/90289206,Нет опыта,Санкт-Петербург,От 90000 до None
Слесарь-сборщик РЭА и приборов,НТЦ Электрозонд,https://hh.ru/vacancy/90037226,От 1 года до 3 лет,Санкт-Петербург,От 65000 до 100000
Слесарь АВР,СМЭУ Заневка,https://hh.ru/vacancy/89437259,Нет опыта,Санкт-Петербург,От 80000 до None
Наладчик оборудования / Слесарь механосборочных работ,Акс-Проф,https://hh.ru/vacancy/90548116,От 1 года до 3 лет,Санкт-Петербург,От 100000 до 200000
Слесарь,РЭМ,https://hh.ru/vacancy/89643797,Нет опыта,Санкт-Петербург,От 62000 до 67000
Слесарь механосборочных работ,АРМАТЭК,https://hh.ru/vacancy/90570787,Нет опыта,Санкт-Петербург,От 70000 до None
Слесарь-ремонтник,Группа Компаний Монолит,https://hh.ru/vacancy/90295969,От 1 года до 3 лет,Санкт-Петербург,От 90000 до None
Слесарь МСР на производство,Здоровый мир,https://hh.ru/vacancy/89215911,От 3 до 6 лет,Санкт-Петербург,От 70000 до None
Слесарь,НК ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ,https://hh.ru/vacancy/89177979,От 1 года до 3 лет,Санкт-Петербург,От 70000 до 100000
Слесарь мср,JabbaMachine Technology,https://hh.ru/vacancy/90226526,От 1 года до 3 лет,Санкт-Петербург,От 75000 до 120000
Слесарь,Пепперс,https://hh.ru/vacancy/89967415,Нет опыта,Санкт-Петербург,От 60000 до None
Слесарь МСР,Строй Система Технологии,https://hh.ru/vacancy/90547393,От 1 года до 3 лет,Санкт-Петербург,От 80500 до 86300
Слесарь МСР,"Прибор, НПО",https://hh.ru/vacancy/87596794,От 1 года до 3 лет,Санкт-Петербург,От 70000 до None
Слесарь-монтажник,Эс-сервис,https://hh.ru/vacancy/90014261,От 1 года до 3 лет,Санкт-Петербург,От 100000 до None
Слесарь по обслуживанию и ремонту оборудования,Мост,https://hh.ru/vacancy/89707600,От 1 года до 3 лет,Санкт-Петербург,От 163000 до 211000
Слесарь-ремонтник 4-5 разряда,Завод стройматериалов Эталон,https://hh.ru/vacancy/86654980,От 1 года до 3 лет,Санкт-Петербург,От 92000 до 104000
Слесарь МСР,Барренс,https://hh.ru/vacancy/90152866,Нет опыта,Санкт-Петербург,От 65000 до None
Слесарь МСР,Jobers,https://hh.ru/vacancy/90439153,От 1 года до 3 лет,Санкт-Петербург,От 75000 до None
Слесарь-ремонтник механик (ремонт и обслуживание станочного металлообрабатывающего оборудования),РУСМАШ,https://hh.ru/vacancy/90160198,От 3 до 6 лет,Санкт-Петербург,От 90000 до 120000
Слесарь (металлообработка),СТИЛ,https://hh.ru/vacancy/88932855,От 1 года до 3 лет,Санкт-Петербург,От 76000 до 90000
